order_id,product_id,quantity,order_item_id
0022fa6e-7e99-473c-9798-94746f5ca560,baf9ca6e-937b-5c6a-9993-724f7a71cf91,1,4db81a2c-acee-4517-a451-934e7ef41047
003ffd80-e5e7-46b6-a707-b9abb67fc896,576dadcd-ff7a-5f59-8ef9-20e99fe21d13,1,3ac8b536-bff4-4c46-8ef6-5ba5aa0dd444
003ffd80-e5e7-46b6-a707-b9abb67fc896,c044336d-c780-56de-937a-16c5cf0f35e0,1,a6d4a583-a54f-4733-9c58-132d07302b27
003ffd80-e5e7-46b6-a707-b9abb67fc896,d2b0bf77-a79f-5026-a892-e0eb2c48c1d1,1,71d04c03-9160-4a36-b601-de1078201c3a
01af2cab-aec1-4f18-9eeb-e6e2d0a21bd7,3e0685b9-b759-5740-a3fb-187094b9ac5f,1,0a1e0edc-9e20-484e-958e-099c27c4a956
01af2cab-aec1-4f18-9eeb-e6e2d0a21bd7,baf9ca6e-937b-5c6a-9993-724f7a71cf91,1,5a73fb32-7d8a-4421-98cd-3881198bde3d
01f8f1c6-aca3-49e4-8034-d77eabf70a4b,75e7f049-029c-5e6a-9793-aea4ae8237aa,1,5eea454b-87de-4cb4-9a75-48b0680cdce6
01f8f1c6-aca3-49e4-8034-d77eabf70a4b,baf9ca6e-937b-5c6a-9993-724f7a71cf91,1,732bcdb9-84e3-4eea-a264-ecd16b711d94
01f8f1c6-aca3-49e4-8034-d77eabf70a4b,d2b0bf77-a79f-5026-a892-e0eb2c48c1d1,1,9e6bcf0c-a3ad-4f26-ab7a-388bb2820ddd
0263f8fa-e359-449c-bc5b-982ec264f99b,d2b0bf77-a79f-5026-a892-e0eb2c48c1d1,1,55e8dcc7-a430-43c7-86b8-01fff99afb8d
02a85187-8b7e-47d9-9185-11575a764a20,d2b0bf77-a79f-5026-a892-e0eb2c48c1d1,1,0970d40f-770c-4a61-8fc6-f60d9a1f8def
0809b980-1f8f-4c72-8f24-81a9eb4b4674,c044336d-c780-56de-937a-16c5cf0f35e0,1,37f6a39a-9dd9-4c6f-bf94-c61655b75721
0809b980-1f8f-4c72-8f24-81a9eb4b4674,d2b0bf77-a79f-5026-a892-e0eb2c48c1d1,1,5f1c83db-8549-41cb-8ded-ba7ebe41244f
08c06bea-356c-4bac-b02a-ebadf256f1bf,c044336d-c780-56de-937a-16c5cf0f35e0,1,9e224326-9d8d-4843-9608-f60fb3e7557a
093033ab-8a3e-44fd-a68e-b0425353b6de,576dadcd-ff7a-5f59-8ef9-20e99fe21d13,1,da9fa95f-ca8b-4d16-98b5-87a3973cc931
095c5f0d-4ed8-4f92-8796-cc793104f104,3e0685b9-b759-5740-a3fb-187094b9ac5f,2,5b34d805-0783-4294-b076-ec7515075a16
096b86f5-a462-4ec9-b4cb-30041e9768cc,baf9ca6e-937b-5c6a-9993-724f7a71cf91,3,c3a1f403-20d9-461c-8e9a-3079ea462354
09a347a4-76ba-461e-8939-f1dc9d4061b2,4e8df017-8885-55ef-8c63-325b9636370a,1,c87afc18-7565-42ee-bcfd-5bfbfc14c68d
09a347a4-76ba-461e-8939-f1dc9d4061b2,baf9ca6e-937b-5c6a-9993-724f7a71cf91,1,1dccd3d3-467d-45cc-b479-0739416785a6
