Order ID,Product,Order Item ID,Product ID
84457e8b-4a8c-4201-be74-4009fa345acb,Cappuccino,d22e36e8-5c24-44b9-851c-059b4662383d,9dab24fe-8ae9-4c0c-80ef-b0b3c70a5247
a5e90313-9a09-4b38-9612-987b03212ff9,Latte,46ea82aa-d2c2-4580-8bd0-642e3bc9f006,220010f3-3896-4dce-a942-076194127975
589e6b15-bf72-4e9c-a2d6-4c4b48c22831,Mocha,62ca5ce1-c9cd-4489-8e97-865aaef00240,0df4960d-3b27-4730-9a26-ccbc80b916c1
57e27793-d521-43c5-8c74-a4d22a4fec9e,Latte,35c87acd-6597-421f-9976-ac419ba60235,220010f3-3896-4dce-a942-076194127975
8163e088-38db-4faf-9695-dec1858430a8,Mocha,699071f3-9563-4005-876c-baefd5fd7adf,0df4960d-3b27-4730-9a26-ccbc80b916c1
54f579b7-8add-43e0-91e2-0ba44c6f3d75,Cappuccino,8044c36e-9c1c-4899-bf04-473a4c3879da,9dab24fe-8ae9-4c0c-80ef-b0b3c70a5247
d95cb5e3-17db-4ed6-92f6-54a405749dea,Americano,c3c334b9-c29c-4672-a21b-c740d14231ab,b8091054-aaa4-40bc-bd75-f40ad8fcf350
ea00f486-e03f-4a35-b64f-e4bdef72e10a,Mocha,a4921150-2f4e-4f16-957a-837b46a3d1fc,0df4960d-3b27-4730-9a26-ccbc80b916c1
b0f35562-3751-47a0-b704-53fe9080670f,Americano,bef391fe-00ff-41b3-b559-7351cec75f9a,b8091054-aaa4-40bc-bd75-f40ad8fcf350
bfde562a-951e-4551-8d91-253ef56e7bc8,Espresso,86087490-0179-4e6f-abe7-17883771e1cf,80010a90-23a5-4347-bd2c-1b4c3bb02c79
5287246a-991f-42f5-97f0-edf4f558d96b,Cappuccino,f6de3c5e-dea5-4138-9b13-1c1b5198cb22,9dab24fe-8ae9-4c0c-80ef-b0b3c70a5247
efac7d14-e4ea-4de2-ab10-ff007e8e7e19,Latte,e0b8e860-7117-4c63-81e7-2009898052a8,220010f3-3896-4dce-a942-076194127975
6b8175d7-4715-4341-83e6-9ab90ed9758f,Americano,159b8fe7-eeee-4464-9b77-f441ee8c9c94,b8091054-aaa4-40bc-bd75-f40ad8fcf350
466017fd-e19b-4247-8917-01eb2357290e,Americano,b4fbb1a6-e673-428c-b8b8-fcf4a9ac6fa0,b8091054-aaa4-40bc-bd75-f40ad8fcf350
86ea293e-8d65-4375-abab-358ada1daafe,Americano,5b3b300d-cfb4-49f6-8a12-1e95c6a3b8c6,b8091054-aaa4-40bc-bd75-f40ad8fcf350
40fa760d-2d67-46b4-94df-7c502950c60a,Latte,476a7099-5b15-4f29-b609-a241d8a9e5c9,220010f3-3896-4dce-a942-076194127975
