date_time,branch,payment_type,order_id,product,price
2024-05-04 10:56:00,Brixton,Card,6ae9c4bd-2410-40fe-b68f-4ef9b1e642bc,Macchiato,3.1
2024-05-04 00:00:00,Brixton,Cash,531fe13e-460a-4a61-a552-44e211306c38,Cappuccino,3.0
2024-05-04 08:15:00,Brixton,Card,c3eaf778-40dc-4442-8f7e-0f81708bef65,Mocha,3.75
2024-05-04 08:15:00,Brixton,Card,c3eaf778-40dc-4442-8f7e-0f81708bef65,Americano,2.2
2024-05-04 08:15:00,Brixton,Card,c3eaf778-40dc-4442-8f7e-0f81708bef65,Americano,2.2
2024-05-04 14:35:00,Brixton,Card,57b7d20a-057c-4cf3-a937-8bbaad85b371,Flat White,2.75
2024-05-04 14:35:00,Brixton,Card,57b7d20a-057c-4cf3-a937-8bbaad85b371,Latte,2.5
2024-05-04 09:00:00,Brixton,Cash,879fca8c-0a50-4673-9b0e-9f6654b2d250,Macchiato,3.1
2024-05-04 09:00:00,Brixton,Cash,879fca8c-0a50-4673-9b0e-9f6654b2d250,Mocha,3.75
2024-05-04 09:00:00,Brixton,Cash,879fca8c-0a50-4673-9b0e-9f6654b2d250,Cappuccino,3.0
2024-05-04 21:10:00,Brixton,Card,39530154-bf7b-4eae-87d2-2d218faa348f,Macchiato,3.1
2024-05-04 21:10:00,Brixton,Card,39530154-bf7b-4eae-87d2-2d218faa348f,Americano,2.2
2024-05-04 21:10:00,Brixton,Card,39530154-bf7b-4eae-87d2-2d218faa348f,Latte,2.5
2024-05-04 21:04:00,Brixton,Card,66d4be58-5639-44c9-b060-081d9db7f060,Cappuccino,3.0
2024-05-04 21:04:00,Brixton,Card,66d4be58-5639-44c9-b060-081d9db7f060,Mocha,3.75
2024-05-04 00:00:00,Brixton,Card,fa304776-3dd7-4d7e-abb7-b3c04098d20f,Mocha,3.75
2024-05-04 00:00:00,Brixton,Card,fa304776-3dd7-4d7e-abb7-b3c04098d20f,Espresso,2.0
2024-05-04 00:00:00,Brixton,Card,fa304776-3dd7-4d7e-abb7-b3c04098d20f,Cappuccino,3.0
2024-05-04 00:00:00,Brixton,Cash,80523f11-2291-4508-bdbb-51b1c540ad45,Americano,2.2
2024-05-04 08:24:00,Brixton,Cash,7ff485c3-3dff-457a-b3b5-93355e828019,Macchiato,3.1
2024-05-04 10:23:00,Brixton,Cash,c23fee21-8822-4bed-b78a-ee0d9fab9265,Latte,2.5
2024-05-04 10:23:00,Brixton,Cash,c23fee21-8822-4bed-b78a-ee0d9fab9265,Cappuccino,3.0
2024-05-04 10:23:00,Brixton,Cash,c23fee21-8822-4bed-b78a-ee0d9fab9265,Macchiato,3.1
2024-05-04 00:00:00,Brixton,Card,87122465-a146-4f61-aebf-aeaf67bb992d,Mocha,3.75
2024-05-04 00:00:00,Brixton,Card,87122465-a146-4f61-aebf-aeaf67bb992d,Flat White,2.75
2024-05-04 00:00:00,Brixton,Card,87122465-a146-4f61-aebf-aeaf67bb992d,Flat White,2.75
2024-05-04 11:36:00,Brixton,Card,d1fd84ff-2b74-4329-9458-f536ef7be26a,Espresso,2.0
2024-05-04 09:20:00,Brixton,Cash,9eea0d63-455a-412a-b858-afda5c0a7e02,Latte,2.5
2024-05-04 09:20:00,Brixton,Cash,9eea0d63-455a-412a-b858-afda5c0a7e02,Mocha,3.75
2024-05-04 09:20:00,Brixton,Cash,9eea0d63-455a-412a-b858-afda5c0a7e02,Latte,2.5
2024-05-04 00:00:00,Brixton,Card,c2bafb06-1f26-4ceb-acd4-201301a14c6a,Flat White,2.75
2024-05-04 20:04:00,Brixton,Cash,88c6c6b1-0d29-4d46-bf2d-62f03e51cc8a,Espresso,2.0
2024-05-04 20:04:00,Brixton,Cash,88c6c6b1-0d29-4d46-bf2d-62f03e51cc8a,Flat White,2.75
2024-05-04 00:00:00,Brixton,Cash,5f4f6e56-d2ea-4d67-abe9-3f3c14d4a783,Espresso,2.0
2024-05-04 13:25:00,Brixton,Cash,994b4b5f-a5b7-4a2e-bdfe-cead29b353d2,Espresso,2.0
2024-05-04 11:04:00,Brixton,Card,7ed81fbd-a073-4b31-a950-185d8c4abb32,Flat White,2.75
2024-05-04 11:04:00,Brixton,Card,7ed81fbd-a073-4b31-a950-185d8c4abb32,Latte,2.5
2024-05-04 15:43:00,Brixton,Cash,6008ab20-898d-4f30-b4cb-384469506489,Latte,2.5
2024-05-04 15:43:00,Brixton,Cash,6008ab20-898d-4f30-b4cb-384469506489,Americano,2.2
2024-05-04 11:44:00,Brixton,Cash,c9f9ef47-c4df-4f59-82d3-2f0b1143d5dc,Espresso,2.0
2024-05-04 11:44:00,Brixton,Cash,c9f9ef47-c4df-4f59-82d3-2f0b1143d5dc,Latte,2.5
2024-05-04 12:22:00,Brixton,Cash,0b3a7a9a-8c76-4aeb-beff-98ba39c096a0,Latte,2.5
2024-05-04 00:00:00,Brixton,Card,7575a87c-cfbd-409b-bd87-6fce6160e4f8,Flat White,2.75
2024-05-04 00:00:00,Brixton,Card,5952783c-226b-41de-a4e7-67db1b8b6990,Mocha,3.75
2024-05-04 00:00:00,Brixton,Card,5952783c-226b-41de-a4e7-67db1b8b6990,Americano,2.2
2024-05-04 12:16:00,Brixton,Card,b8563d97-8f1f-4f72-82e3-12631c824827,Flat White,2.75
2024-05-04 12:16:00,Brixton,Card,b8563d97-8f1f-4f72-82e3-12631c824827,Americano,2.2
2024-05-04 14:32:00,Brixton,Cash,2428f664-a3ae-4e6d-ae9f-de55cb32f501,Latte,2.5
2024-05-04 14:32:00,Brixton,Cash,2428f664-a3ae-4e6d-ae9f-de55cb32f501,Cappuccino,3.0
2024-05-04 11:34:00,Brixton,Cash,92921d2e-5958-4734-a573-3eeabee34fa6,Americano,2.2
2024-05-04 08:11:00,Brixton,Cash,9431af1a-3561-45c4-903d-8a60480411c6,Espresso,2.0
2024-05-04 00:00:00,Brixton,Cash,d1508c2f-bc60-44f2-a5ed-5fa490647785,Flat White,2.75
2024-05-04 00:00:00,Brixton,Cash,d1508c2f-bc60-44f2-a5ed-5fa490647785,Americano,2.2
2024-05-04 20:34:00,Brixton,Cash,ac267604-9900-4cf6-bcf2-3a75917af22a,Espresso,2.0
